"_time",ID,BlockChannel,Category,Event,Certainty,"Response Type",Severity,Urgency,"Message Type",Area,WEAText,Headline,Description,Instruction
"2020-08-25T10:09:24.000-0500","OnSolve-ff03903228994efea66e89562b65d311","EAS
NWEM",Safety,"Law Enforcement Warning",Observed,Monitor,Extreme,Immediate,Alert,"CA California Highway Patrol","DETAILS AT
http://chp.click/alert","Law Enforcement Warning",,
"2020-08-24T21:15:40.000-0500","OnSolve-4456f8e3b3634641aa551d9558e2dc97",NWEM,Fire,"Fire Warning",Observed,Prepare,Extreme,Expected,Alert,"CA Plumas County Sheriff's Office","Advisory notice for Cromberg and Sloat Please make preparations to evacuate","Fire Warning","This is Evacuation Advisory Alert for Cromberg and Sloat Please make preparations to evacuate If you have special needs you should evacuate now If you have large animals make arrangements to move them immediately Additional alerts may be sent with updated information",
"2020-08-24T20:22:01.000-0500","AS-WI-ce82d177-fe47-4484-9542-9e9d4991b931",NWEM,Safety,"Local Area Emergency",Observed,Avoid,Extreme,Immediate,Alert,"Local Media","Kenosha County has declared a state of Emergency Curfew for 8:00 PM tonight August 24th East of I-94.  Citizens need to be off the streets for their safety.  The curfew will be enforced until 7:00 AM.","Civil Unrest Advisory","Kenosha County has declared a state of Emergency Curfew for 8:00 PM tonight August 24th East of I-94.  Citizens need to be off the streets for their safety.  The curfew will be enforced until 7:00 AM.","For your safety and convenience, please avoid traveling. Thank you for your patience and cooperation."
"2020-08-24T19:01:11.000-0500","c2df53dc-4078-43a9-aab2-d735605c40f5","NWEM
EAS
PUBLIC
CAPEXCH",Safety,"Civil Emergency Message",Observed,Prepare,Extreme,Immediate,Alert,"PUERTO RICO","OBLIGATORIO USO DE MASCARILLA PROTEGETE  COVID19.TOQUE DE QUEDA.CURFEW IN EFFECT 10PM-5AM.","OBLIGATORIO USO DE MASCARILLA PROTEGETE  COVID19. TOQUE DE QUEDA.CURFEW IN EFFECT.10PM-5AM","OBLIGATORIO USO DE MASCARILLA PROTEGETE  COVID19. TOQUE DE QUEDA.CURFEW IN EFFECT.10PM-5AM","OBLIGATORIO USO DE MASCARILLA PROTEGETE  COVID19. TOQUE DE QUEDA.CURFEW IN EFFECT.10PM-5AM"
"2020-08-24T02:09:11.000-0500","AS-WI-534fac16-bcad-4467-873b-1581e85245aa",NWEM,Safety,"Local Area Emergency",Observed,Avoid,Extreme,Immediate,Update,"Local Media","THE CITY OF KENOSHA HAS ISSUED A CITY-WIDE CURFEW UNTIL 7:00 AM, 24-HR BUSINESSES PLEASE CONSIDER CLOSING DUE TO NUMEROUS ARM ROBBERIES AND SHOTS FIRED CALLS.","Civil Unrest Advisory","THE CITY OF KENOSHA HAS ISSUED A CITY-WIDE CURFEW UNTIL 7:00 AM. 24-HR BUSINESSES PLS  CONSIDER CLOSING DUE TO NUMEROUS ARM ROBBERIES AND SHOTS FIRED CALLS.","Thank you for your patience and cooperation."
"2020-08-23T23:06:58.000-0500","AS-WI-dcb7f2b9-10c9-4be5-acab-e57edc221765",NWEM,Safety,"Local Area Emergency",Observed,Avoid,Extreme,Immediate,Update,"Local Media","THE CITY OF KENOSHA HAS ISSUED A CITY-WIDE CURFEW UNTIL 7:00 AM.","Civil Unrest Advisory","THE CITY OF KENOSHA HAS ISSUED A CITY-WIDE CURFEW UNTIL 7:00 AM, PLEASE STAY OFF THE STREETS OF KENOSHA.","Thank you for your patience and cooperation."
"2020-08-23T21:53:43.000-0500","AS-WI-6f726f42-58bb-4783-b464-85c65f40f5ef",NWEM,Safety,"Local Area Emergency",Observed,Avoid,Extreme,Immediate,Alert,"Local Media","The Kenosha Sheriffs Department. This message is being sent at 2147 hours at 08/23/20. This is an advisory message for your area regarding a large scale act of civil unrest in area of 2800 block of 40th Street, Kenosha.","Civil Unrest Advisory","The Kenosha Sheriffs Department. This message is being sent at 2147 hours at 08/23/20. This is an advisory message for your area regarding a large scale act of civil unrest in area of 2800 block of 40th Street, Kenosha.","For your safety and convenience, please avoid traveling through that area until further notice. Thank you for your patience and cooperation."
"2020-08-23T19:10:28.000-0500",533954629222688,"CAPEXCH
NWEM
EAS
PUBLIC",Safety,"Evacuation Immediate",Observed,,Extreme,Immediate,Alert,"Santa Clara County","Updated Evacuation Order and Warning.
http://www.tinyurl.com/scu-evacmap",,,"Cal Fire has issued an Updated Evacuation Order and Warning.
Evacuation Order: Effective Immediately

Additional info: https://www.fire.ca.gov/incidents/2020/8/18/scu-lightning-complex/

bit.ly/LightningComplex-SCC"
"2020-08-23T18:08:22.000-0500","OnSolve-311e6703520e4544a0a23897205b37d5",NWEM,Fire,"Fire Warning",Observed,Prepare,Extreme,Expected,Alert,"CA Plumas County Sheriff's Office","This is the Plumas County Sheriffs Office with an Evacuation Advisory Alert for the residents of Chandler Road to Carol Lane East due to a wildfire
Please make preparations to evacuate. If you have special needs you may want to evacuate now
If you have large animals you should make arrangements to move them immediately","Fire Warning","This is the Plumas County Sheriffs Office with an Evacuation Advisory Alert for the residents of Chandler Road to Carol Lane East due to a wildfire
Please make preparations to evacuate. If you have special needs you may want to evacuate now
If you have large animals you should make arrangements to move them immediately",
"2020-08-23T17:56:56.000-0500","OnSolve-aaba9735a6da4f1d9312130d09c1fc78",NWEM,Fire,"Evacuation Immediate",Observed,Evacuate,Extreme,Immediate,Alert,"CA Plumas County Sheriff's Office","This is the Plumas County Sheriffs Office with a Mandatory Evacuation notice for the residents  on Highway 70 from Chandler Road east to Squirrel Creek due to a wildfire You should leave the area immediately If you remain emergency personnel may not be able to help you An evacuation center is set up at Quincy High School","Evacuation Immediate","This is the Plumas County Sheriffs Office with a Mandatory Evacuation notice for the residents on Highway 70 from Chandler Road east to Squirrel Creek due to a wildfire You should leave the area immediately If you remain emergency personnel may not be able to help you An evacuation center is set up at Quincy High School",
"2020-08-23T17:53:51.000-0500","OnSolve-18369f3e36d94bfe8c8148fac8a935a2",NWEM,Safety,"Child Abduction Emergency",Observed,Monitor,Extreme,Immediate,Alert,"MT Montana Department of Justice, Division of Criminal Investigation","AMBER Update vehicle 1990-2000's whi Chev extd cab pickup unk plate Flathead SO 758-5610","Child Abduction Emergency","AMBER Alert Update - A six month old baby boy, Lucas Warner, was abducted yesterday by his non-custodial father Andrew Warner and babysitter Hayli Emerson. They are possibly in a late 1990-2000's white Chevy extended cab pickup, unknown license plate. The Dodge Dakota in the previous alert has been located. Andrew is reportedly bipolar and off his medication. Go to www.dojmt.gov and view poster for pictures. If you have any information, call Flathead Sheriff 406 758-5610. thank you.",
"2020-08-23T17:25:51.000-0500","OnSolve-658b2b2d94154a8d833f5dbc1a5caf1b","EAS
NWEM",Fire,"Evacuation Immediate",Observed,Evacuate,Extreme,Immediate,Alert,"CO Park County Communications","WEBBER PARK RANCH HAS UPGRADED TO MANDATORY EVACUATION DUE TO THE WILDLAND FIRE.","Evacuation Immediate",,
"2020-08-23T17:14:07.000-0500",533954629222548,"CAPEXCH
NWEM
EAS
PUBLIC",Safety,"Evacuation Immediate",Observed,,Extreme,Immediate,Alert,"Santa Clara County","CAL FIRE has issued an Evacuation Order for Jackson Oaks, Holiday Lake Estates, and Thomas Grade residents effective immediately.  If you live in those areas you must leave NOW.  After 5:00 pm no residents will be let back into the evacuated area.  Those needing evacuation assistance should contact our call center at 408.762.1635.","Evacuation Order - Jackson Oaks, Holiday Lake Estates, Thomas Grade",,
"2020-08-23T15:58:27.000-0500","OnSolve-74ce3dcab5d24d61b1758948f4b1aee3","EAS
NWEM",Fire,"Evacuation Immediate",Observed,Evacuate,Extreme,Immediate,Alert,"CO Park County Communications","THIS IS A MANDATORY EVACUATIONS NOTIFICATION FOR THE CAMPERS OFF OF COUNTY RD 31","Evacuation Immediate",,
"2020-08-23T15:34:27.000-0500","OnSolve-e4039ab5dd1b4f04a451f2412d08fd3a","EAS
NWEM",Fire,"Evacuation Immediate",Observed,Prepare,Extreme,Immediate,Alert,"CO Park County Communications","RESIDENTS IN THE WEBBER PARK RANCH ARE UNDER PRE EVACUATIONS FOR A WILDLAND FIRE.","Evacuation Immediate",,
"2020-08-23T15:18:47.000-0500","OnSolve-69ed41276c2c4105aea2c67d5068e972",NWEM,Safety,"Child Abduction Emergency",Observed,Monitor,Extreme,Immediate,Alert,"WY Wyoming Highway Patrol","Updated Vehicle-AMBER Alert on Lucas Warner. White Late 1990-2000  Chevy EXT Cab 2 DR PU.","Child Abduction Emergency","Update Vehicle: Amber alert Lucas Warner 6 months old. Now believed to be in  a White Late 1990 Early 2000 Chevy  Extended cab 2 DR PU. No plate available at this time",
"2020-08-23T13:32:35.000-0500","ea754d44-2715-4655-9e8a-7dba80281c9d","EAS
NWEM
PUBLIC",Safety,"Local Area Emergency",Likely,Prepare,Severe,Immediate,Alert,",90676","St John the Baptist Parish is issuing a voluntary evacuation for Pleasure Bend and areas North of I 10 in Laplace, including Frenier, Peavine and Manchac in advance of Tropical Storms Marco and Laura. All residents are encouraged to make their tropical storm preparations as soon as possible as the Parish will likely experience deteriorated weather.",,,
"2020-08-23T02:09:26.000-0500","OnSolve-607ddd67370a407b9ed39b0ead9da2fd",NWEM,Safety,"Child Abduction Emergency",Observed,Monitor,Extreme,Immediate,Alert,"WY Wyoming Highway Patrol","Amber alert White 98 Dodge Dakota dark pin stripes on each side MT plate 720745A 6 mon boy","Child Abduction Emergency","Amber alert White 1998 Dodge Dakota dark pin stripes on each side, red interior MT plate 720745A. 6 Month Old Lucas Warner, blonde hair blue eyes.",
"2020-08-23T00:53:43.000-0500","OnSolve-2912b92e3e5a41bf871f76e16ea031b3",NWEM,Safety,"Child Abduction Emergency",Observed,Monitor,Extreme,Immediate,Alert,"MT Montana Department of Justice, Division of Criminal Investigation","AMBER ALERT WHI 98 DODG DAKOTA PKUP MT LIC 720745A ABDUCTED BABY BOY FLATHEAD SO 758-5610","Child Abduction Emergency","AN AMBER ALERT HAS BEEN ISSUED FOR A WHITE 1998 DODGE DAKOTA PICKUP MONTANA LICENSE 720745A. NON-CUSTODIAL FATHER ANDREW WARNER AND HAYLI EMERSON ABDUCTED 6 MONTH OLD BABY BOY LUCAS WARNER. ANDREW IS REPORTEDLY BIPOLAR AND OFF MEDICATION. ANY INFORMATION CALL FLATHEAD COUNTY SHERIFF AT 406 758-5610. THANK YOU",
"2020-08-22T22:46:16.000-0500",15981543360001338373685,NWEM,Env,"Civil Danger Warning",Likely,Prepare,Severe,Immediate,Alert,Central,"Mille Lacs County Alert: Tornado Warning for this area",,"Mille Lacs County Alert: Tornado Warning for this area",
"2020-08-22T21:00:00.000-0500",15981479460001338373432,NWEM,Env,"Civil Emergency Message",Likely,Shelter,Severe,Immediate,Alert,North,"Mille Lacs County Alert: Severe Thunderstorm Warning in this area",,"Mille Lacs County Alert: Severe Thunderstorm Warning in this area",
"2020-08-22T20:39:25.000-0500",535054140848838,"CAPEXCH
NWEM
EAS
PUBLIC",Fire,"Fire Warning",Observed,,Extreme,Expected,Alert,"Alameda County","CALFIRE evacuation warning for eastern Unincorporated Alameda County: it is being issued in advance of the weather event due to limited egress routes, which may be inaccessible if this fire spreads as expected. Be prepared to leave if the situation worsens. Those with livestock or access/functional needs consider leaving now. For more info 916 618-3195","Evacuation Warning",,"Due to anticipated high winds and scattered thunderstorms forecast to occur in Alameda County, and thought the Bay Area. beginning as early as tomorrow morning and continuing through Tuesday night, CAL FIRE has issued an evacuation warning for eastern Unincorporated Alameda County (See Evacuation Map Below). This warning is being issued in advance of the weather event because of the remoteness of this area and the limited egress routes, which may be inaccessible should this fire spread as anticipated. For those with pets or livestock, as well as those with access and functional needs, you are encouraged to leave the area. All others should be prepared to leave if the situation worsens or if they perceive a fire threat.

For those who need shelter for Livestock, please contact Alameda County Animal Services at 925-803-7041 to make arrangements for their housing.

If a mandatory evacuation order is issued, a Temporary Evacuation Point will be provided. 

For more information contact the Incident Information Line: (916) 618-3195"
"2020-08-22T19:01:33.000-0500","80e1713a-6f45-479c-b2c5-8d39ef126167","NWEM
EAS
PUBLIC
CAPEXCH",Safety,"Civil Emergency Message",Observed,Prepare,Extreme,Immediate,Alert,"PUERTO RICO","OBLIGATORIO USO DE MASCARILLA PROTEGETE  COVID19.TOQUE DE QUEDA.CURFEW IN EFFECT 10PM-5AM.","OBLIGATORIO USO DE MASCARILLA PROTEGETE  COVID19. TOQUE DE QUEDA.CURFEW IN EFFECT.10PM-5AM","OBLIGATORIO USO DE MASCARILLA PROTEGETE  COVID19. TOQUE DE QUEDA.CURFEW IN EFFECT.10PM-5AM","OBLIGATORIO USO DE MASCARILLA PROTEGETE  COVID19. TOQUE DE QUEDA.CURFEW IN EFFECT.10PM-5AM"
"2020-08-22T17:18:31.000-0500",534779262943561,"CAPEXCH
NWEM
PUBLIC",Fire,"Evacuation Immediate",Observed,,Extreme,Immediate,Alert,"Lake County","EVACUATION ORDER is in effect for the Lower Lake/Spruce Grove Rd area","EVACUATION ORDER","EVACUATION ORDER is in effect for the Lower Lake/Spruce Grove Rd area due to a Wildland Fire for 
All residents living south of Morgan Valley Rd., west of the Mandatory Evacuation boarder line at Sky High Ridge Rd. to HWY 29 and HWY 53 in Lower Lake. East of HWY 29 at Hofacker Ln.  to the Mandatory Evacuation Boarder line. This area was previously under a warning and has been upgraded to an order.",
"2020-08-22T16:28:47.000-0500","OnSolve-a9fbedc6abe54024801208d695b0df89","EAS
NWEM
EAS
NWEM","Safety
Safety","Fire Warning","Likely
Likely","Monitor
Monitor","Severe
Severe","Immediate
Immediate",Alert,"CA Sonoma County Fire and Emergency Services Department
CA Sonoma County Fire and Emergency Services Department","SoCo: EVACUATION WARNING-FIRE. Windsor Zone A ONLY Prepare to leave. socopsa.org
SoCo: ADVERTENCIA EVAC-FUEGO. Windsor Zona A . Preparese para irse. socopsa.org","Fire Warning
Fire Warning",,
"2020-08-22T16:25:36.000-0500","OnSolve-5bb655a155484a6f8837197266296594","EAS
NWEM
EAS
NWEM","Safety
Safety","Fire Warning","Likely
Likely","Monitor
Monitor","Severe
Severe","Immediate
Immediate",Alert,"CA Sonoma County Fire and Emergency Services Department
CA Sonoma County Fire and Emergency Services Department","SonomaCo: EVACUATION WARNING-FIRE. Zone 2G1. Prepare to leave. socopsa.
SoCo: ADVERTENCIA EVACUACION-FUEGO. Zona 2G1. Preparese para irse. socopsa.org","Fire Warning
Fire Warning",,
"2020-08-22T16:23:28.000-0500","OnSolve-a026531884ba437ca0a7bb9d54e1dbb1","EAS
NWEM
EAS
NWEM","Safety
Safety","Fire Warning","Likely
Likely","Monitor
Monitor","Severe
Severe","Immediate
Immediate",Alert,"CA Sonoma County Fire and Emergency Services Department
CA Sonoma County Fire and Emergency Services Department","SonomaCo: EVACUATION WARNING-FIRE. Zone 2C4. Prepare to leave. socopsa.org
SoCo: ADVERTENCIA EVACUACION-FUEGO. Zona 2C4. Preparese para irse. socopsa.org","Fire Warning
Fire Warning",,
"2020-08-22T16:22:26.000-0500","OnSolve-e89ccc33418b437cb9756c5ce6a6db14","EAS
NWEM
EAS
NWEM","Safety
Safety","Fire Warning","Likely
Likely","Monitor
Monitor","Severe
Severe","Immediate
Immediate",Alert,"CA Sonoma County Fire and Emergency Services Department
CA Sonoma County Fire and Emergency Services Department","SonomaCo: EVACUATION WARNING-FIRE. Zone 2A2. Prepare to leave. socopsa.org
SoCo: ADVERTENCIA EVACUACION-FUEGO. Zona 2A2. Preparese para irse. socopsa.org","Fire Warning
Fire Warning",,
"2020-08-22T16:20:18.000-0500","OnSolve-2bdbfb08e2fb4d2aba656ba89c389f7e","EAS
NWEM
EAS
NWEM","Safety
Safety","Fire Warning","Likely
Likely","Monitor
Monitor","Severe
Severe","Immediate
Immediate",Alert,"CA Sonoma County Fire and Emergency Services Department
CA Sonoma County Fire and Emergency Services Department","SonomaCo: EVACUATION WARNING-FIRE. Zone 4A3. Prepare to leave. socopsa.org
SoCo: ADVERTENCIA EVACUACION-FUEGO. Zona 4A3. Preparese para irse. socopsa.org","Fire Warning
Fire Warning",,
"2020-08-22T16:19:13.000-0500","OnSolve-7dda96859a1e4b319805bd6487cea4e4","EAS
NWEM
EAS
NWEM","Safety
Safety","Fire Warning","Likely
Likely","Monitor
Monitor","Severe
Severe","Immediate
Immediate",Alert,"CA Sonoma County Fire and Emergency Services Department
CA Sonoma County Fire and Emergency Services Department","SonomaCo: EVACUATION WARNING-FIRE. Zone 4A2. Prepare to leave. socopsa.org
SoCo: ADVERTENCIA EVACUACION-FUEGO. Zona 4A2. Preparese para irse. socopsa.org","Fire Warning
Fire Warning",,
"2020-08-22T14:21:04.000-0500","OnSolve-0ecbdef5618b4cb78acf93d7c886d324","EAS
NWEM
EAS
NWEM","Fire
Fire","Evacuation Immediate","Observed
Observed","Evacuate
Evacuate","Extreme
Extreme","Immediate
Immediate",Alert,"CA Sonoma County Fire and Emergency Services Department
CA Sonoma County Fire and Emergency Services Department","SonomaCo: EVACUATION ORDER- FIRE. Zone 2F3. Leave now. socopsa.org
SonomaCo: ORDEN EVACUACION-INCENDIO . Zona 2F3. Vayase ahora. socopsa.org","Evacuation Immediate
Evacuation Immediate",,
"2020-08-22T13:47:37.000-0500","OnSolve-87d73e4f3c5e429ea7c0c0ec40f64873","EAS
NWEM
EAS
NWEM","Fire
Fire","Evacuation Immediate","Observed
Observed","Evacuate
Evacuate","Extreme
Extreme","Immediate
Immediate",Alert,"CA Sonoma County Fire and Emergency Services Department
CA Sonoma County Fire and Emergency Services Department","SonomaCo: EVACUATION ORDER- FIRE. Zone 2F2. Leave now. socopsa.org
SonomaCo: ORDEN EVACUACION-INCENDIO . Zona 2F2. Vayase ahora. socopsa.org","Evacuation Immediate
Evacuation Immediate",,
"2020-08-22T13:45:31.000-0500","OnSolve-163cf910df7442499f6b8bf73f3ed357","EAS
NWEM
EAS
NWEM","Fire
Fire","Evacuation Immediate","Observed
Observed","Evacuate
Evacuate","Extreme
Extreme","Immediate
Immediate",Alert,"CA Sonoma County Fire and Emergency Services Department
CA Sonoma County Fire and Emergency Services Department","SonomaCo: EVACUATION ORDER- FIRE. Zone 2K1. Leave now. socopsa.org
SonomaCo: ORDEN EVACUACION-INCENDIO . Zona 2K1. Vayase ahora. socopsa.org","Evacuation Immediate
Evacuation Immediate",,
"2020-08-22T13:43:26.000-0500","OnSolve-ea0be1a9680f48b7ae90f53ae6df3379","EAS
NWEM
EAS
NWEM","Fire
Fire","Evacuation Immediate","Observed
Observed","Evacuate
Evacuate","Extreme
Extreme","Immediate
Immediate",Alert,"CA Sonoma County Fire and Emergency Services Department
CA Sonoma County Fire and Emergency Services Department","SonomaCo: EVACUATION ORDER- FIRE. Zone 2F1. Leave now. socopsa.org
SonomaCo: ORDEN EVACUACION-INCENDIO . Zona 2F1. Vayase ahora. socopsa.org","Evacuation Immediate
Evacuation Immediate",,
"2020-08-22T13:37:09.000-0500","OnSolve-1542ace9606b46749dd91f3a273b816e","EAS
NWEM
EAS
NWEM","Fire
Fire","Evacuation Immediate","Observed
Observed","Evacuate
Evacuate","Extreme
Extreme","Immediate
Immediate",Alert,"CA Sonoma County Fire and Emergency Services Department
CA Sonoma County Fire and Emergency Services Department","SonomaCo: EVACUATION ORDER- FIRE. Zone 4C1. Leave now. socopsa.org
SonomaCo: ORDEN EVACUACION-INCENDIO . Zona 4C1. Vayase ahora. socopsa.org","Evacuation Immediate
Evacuation Immediate",,
"2020-08-22T13:35:02.000-0500","OnSolve-3f496009c5244cbf9605948b038de4c2","EAS
NWEM
EAS
NWEM","Fire
Fire","Evacuation Immediate","Observed
Observed","Evacuate
Evacuate","Extreme
Extreme","Immediate
Immediate",Alert,"CA Sonoma County Fire and Emergency Services Department
CA Sonoma County Fire and Emergency Services Department","SonomaCo: EVACUATION ORDER- FIRE. Zone 4A1. Leave now. socopsa.org
SonomaCo: ORDEN EVACUACION-INCENDIO . Zona 4A1. Vayase ahora. socopsa.org","Evacuation Immediate
Evacuation Immediate",,
"2020-08-22T13:31:55.000-0500","OnSolve-352ad599fd1b48b6a4e818779b93f974","EAS
NWEM
EAS
NWEM","Fire
Fire","Evacuation Immediate","Observed
Observed","Evacuate
Evacuate","Extreme
Extreme","Immediate
Immediate",Alert,"CA Sonoma County Fire and Emergency Services Department
CA Sonoma County Fire and Emergency Services Department","SonomaCo: EVACUATION ORDER- FIRE. Zone 2K2. Leave now. socopsa.org
SonomaCo: ORDEN EVACUACION-INCENDIO . Zona 2K2. Vayase ahora. socopsa.org","Evacuation Immediate
Evacuation Immediate",,
"2020-08-22T11:50:29.000-0500","AS-NE-fb4b5a66-baaf-4357-8545-f100655a90cf","EAS
NWEM",Safety,"Law Enforcement Warning",Observed,Monitor,Extreme,Immediate,Alert,"3400 Ernst","Omaha Police are asking for help locating Jolaiya Houston, a 13 yr old b/f. Houston is approximately 5'7"", 120 lbs, with black hair and brown eyes. Last seen in the area of 34 and Ernst wearing a white t-shirt and jeans. She may be carrying a gold sparkling backpack. If seen call 911.",,,
"2020-08-22T11:49:27.000-0500","AS-NE-4987781a-c3cf-4f35-9cfa-0a144ff8fa2c","EAS
NWEM",Safety,"Law Enforcement Warning",Observed,Prepare,Extreme,Immediate,Alert,"34th and Ernst","Omaha Police are seeking help locating a missing 13 year old female.  Jolaiya is a b/f who is 5'7 tall, 120 lbs, black hair, brown eyes. She was last seen at her home near 34th and Ernst at approximately 4:00am.  If seen contact 911.",,,
